Unit Name,Data Fellow,NWS,NWS ID,Unit Code,Type,Street Address,City,County,Zip,Driving miles
Pack,Karina,Navasota Municipal Airport (K60R),K60R,P1,Prison,2400 Wallace Pack Road,Navasota,Grimes,77868,
Telford,Karina,"Texarkana, Texarkana Regional-Webb Field (KTXK)",KTXK,TO,Prison,3899 Hwy 98,New Boston,Bowie,75570,
"Moore, B.",Karina,Rusk County Airport (KRFI),KRFI,BM,Private Prison,8500 North FM 3053,Overton,Rusk,75684,
Powledge,Karina,"Palestine, Palestine Municipal Airport (KPSN)",KPSN,B2,Prison,1400 FM 3452,Palestine,Anderson,75803,
Baten,Karina,"Pampa, Perry Lefors Field Airport (KPPA)",KPPA,NJ,ISF,1995 Helton Road,Pampa,Gray,79065,
Jordan,Johan,Perry Lefors Field Airport (KPPA),KPPA,JN,Prison,1992 Helton Road,Pampa,Gray,79065,
Formby,Johan,Hale County Airport (KPVW),KPVW,FB,State Jail,998 County Road AA,Plainview,Hale,79072,
Wheeler,Johan,Hale County Airport (KPVW),KPVW,WR,State Jail,986 County Road AA,Plainview,Hale,79072,
Willacy County,Johan,Rio Grande Valley International Airport (KHRL),KHRL,WI,Private State Jail,1695 South Buffalo Drive,Raymondville,Willacy,78580,
Jester III,Johan,Sugar Land Municipal / Hull Field Airport (KSGR),KSGR,J3,Prison,3 Jester Road,Richmond,Fort Bend,77406,
Scott,Johan,Sugar Land Municipal / Hull Field Airport (KSGR),KSGR,J4,Psychiatric,4 Jester Road,Richmond,Fort Bend,77406,
Vance,Johan,Sugar Land Municipal / Hull Field Airport (KSGR),KSGR,J2,Prison,2 Jester Road,Richmond,Fort Bend,77406,
Memorial,Johan,Pearland Regional Airport (KLVJ),KLVJ,DA,Prison,59 Darrington Road,Rosharon,Brazoria,77583,
Ramsey,Johan,Pearland Regional Airport (KLVJ),KLVJ,R1,Prison,1100 FM 655,Rosharon,Brazoria,77583,
Stringfellow,Johan,Pearland Regional Airport (KLVJ),KLVJ,R2,Prison,1200 FM 655,Rosharon,Brazoria,77583,
Terrell,Johan,Pearland Regional Airport (KLVJ),KLVJ,R3,Prison,1300 FM 655,Rosharon,Brazoria,77583,
Hodge,Johan,Cherokee County Airport (KJSO),KJSO,HD,DDP,379 FM 2972 West,Rusk,Cherokee,75785-3666,
Skyview,Johan,Cherokee County Airport (KJSO),KJSO,SV,Psychiatric,379 FM 2972 West,Rusk,Cherokee,75785-3666,
Dominguez,Johan,Kelly Field (KSKF),KSKF,BX,State Jail,6535 Cagnon Road,San Antonio,Bexar,78252-2202,
Glossbrenner,Johan,Alice International Airport (KALI),KALI,SO,SAFPF,5100 South FM 1329,San Diego,Duvall,78384,
San Saba,Johan,San Saba County Municipal Airport (K81R),K81R,N2,Prison,206 South Wallace Creek Road,San Saba,San Saba,76877,
Daniel,Johan,"Snyder, Winston Field Airport (KSNK)",KSNK,DL,Prison,938 South FM 1673,Snyder,Scurry,79549,
Boyd,Johan,Mexia Limestone County Airport (KLXY),KLXY,BY,Prison,200 Spur 113,Teague,Freestone,75860-2007,
Beto,Johan,Palestine Municipal Airport (KPSN),KPSN,B,Prison,1391 FM 3328,Tennessee Colony,Anderson,75880,
Coffield,Johan,Palestine Municipal Airport (KPSN),KPSN,CO,Prison,2661 FM 2054,Tennessee Colony,Anderson,75884,
Michael,Johan,Palestine Municipal Airport (KPSN),KPSN,MI,Prison,2664 FM 2054,Tennessee Colony,Anderson,75886,
Mechler,Johan,Hale County Airport (KPVW),KPVW,N3,Prison,4000 Highway 86 West,Tulia,Swisher,79088,
Estes,Johan,Mid-Way Regional Airport (KJWY),KJWY,VS,Pre-Release,1100 Hwy 1807,Venus,Johnson,76084,
Johnston,Johan,Wood County Airport (KJDD),KJDD,JT,SAFPF,703 Airport Road,Winnsboro,Wood,75494,
Lewis,Johan,Jasper County-Bell Field Airport (KJAS),KJAS,GL,Prison,777 FM 3497,Woodville,Tyler,75990,
