unit,region,notes
stockton,r4-fort,Category crossed out in hi_wc from 6:30 pm to 8:30 pm on 7/27/2023
stockton,r4-fort,"hi_wc_n value of NA for 8:30 am on 7/30/2023 for ""No Cat"""
west,r4-garza,"""Acosta, R"" begins signing as ""Acosta Ri"" starting at 8:30 am on 7/25/2023"
west,r4-garza,"""Acosta, Ri"" switches to ""Acosta"" at 11:30 am on 7/26/2023"
west,r4-garza,"Date for 7/27/2023 corrected from ""7/26/2023"""
west,r4-garza,hi_wc at 1:30 am for 7/30/2023 has both a value and N/A. Recorded N/A.
west,r4-garza,"""Yzaguirre, J"" begins being corrected as just ""Yzaguirre"""
glossbrenner,r4,"""C. Garza"" tends to use lowercase ""g"" for last name"
glossbrenner,r4,"Numbers next to person field on forms, not sure whether it's hi_wc_n because numbers are present in rows where hi_wc is entered as N/A. Rows with numbers next to name will be marked with hi_wc_n"
glossbrenner,r4,"wind value of ""Calm"" entered for 8:30 a.m. on 7/29/2023. Again from 6:30 a.m. to 8:30 a.m. on 7/30/2023 and 12:30 a.m. to 2:30 a.m. and 4:30 a.m. to 5:30 a.m. on 7/31/2023"
glossbrenner,r4,"""Gonzales"" and ""Gonzalez"" seem to be separate people, as they have different handwriting."
glossbrenner,r4,Upper range of wind speed inputted for 6:30 p.m. on 7/31/2023
lopez,r4,R4-Lopez and R4-Segovia have the same values
lopez,r4,"Ortiz, L inputs humidity data with a degree symbol. Might be questionable"
lopez,r4,E Esquirel does not put any units next to their entries
lopez,r4,"For wind from 10:30 p.m. to 11:30 p.m., flores, C. crosses out a value, but then puts the same value again (not crossed) out with an N/A. Choose to input the N/A"
lynaugh,r4,"""Zamona . A"" always use a period between the two parts of their name."
lynaugh,r4,Humidity crossed out at 9:30 p.m. on 7/25/2023
lynaugh,r4,"""Rodriguez"" and ""Rodriguez M"" are likely the same person, based on the handwriting"
mcconnell,r4,Put N/A for the entire humid/wind and hi_wc/hi_wc_n columns on 7/26/2023
mcconnell,r4,"Uses ""calm"" for windspeed on 7:30 a.m. and 8:30 a.m. on 7/27/2023 and 7/28/2023"
mcconnell,r4,"Uses ""%"" instead of degree symbol for temp values from 8:30 a.m. to 6:30 p.m. on 7/31/2023"
sanchez,r4,"Uses ""%"" instead of degree symbol for temp values for 10:30 p.m and 11:30 p.m. on 7/25/2023"
sanchez,r4,"Unsure if ""Sanchez, P."" and ""Sanchez D"" is the same person, but they have very different handwriting."
stevenson,r4,"Uses ""calm"" for wind value several times, marked with wind legibility"
stevenson,r4,"""Lott"" and ""Lott - I/B"" are the same, but they sometimes sign as just ""Lott"""
torres,r4,R4-Ney and R4-Torres have the same values
torres,r4,"illegible value after hi_wc at 7:30 p.m. on 7/24/2023, entered a blank"
torres,r4,"""SE-17+24"" entered for wind at 3:30 p.m. on 7/26/2023, chose to enter ""24"" for wind value"
torres,r4,"""Gustig 24"" entered for hi_wc at 2:30 a.m. on 7/26/2023, choose to enter a blank value"
torres,r4,"""Bush, 18 99"" entered for hi_wc at 6:30 p.m. on 7/26/2023, entered ""99"" for hi_wc"
torres,r4,"""102 Gust 22"" entered after hi_wc value at 6:30 p.m.  on 7/27/2023, entered ""102"" for hi_wc"
torres,r4,"Both ""N-7"" and ""E-3"" inputted as wind value at 4:30 a.m. on 7/29/2023, left blank"
torres,r4,"""S-10+17"" entered for wind value at 5:30 p.m. on 7/30/2023, choose ""17"""
torres,r4,"""5 to 10"" entered for wind value from 10:30 to 11:30 p.m. on 7/30/2023, choose ""10"" for each"
